,Title,Link,Content
0,What is a Knowledge Base,"https://wiki.genexus.com//commwiki/wiki?1836,Knowledge+Base","To create a new software system with GeneXus you must create a Knowledge Base (KB).
A Knowledge Base stores the Users' Views about the business reality to be modeled. Those User's Views are described in the Knowledge Base using Objects of many kinds.
The stored knowledge is structured information that is so pure and platform-independent, that GeneXus can make inferences to obtain more knowledge and also automatically generate the system (database and the application programs) in as many platforms you decide.
That is the reason behind a Knowledge Base is not just called ‘Project’ as used in common Software development jargon.
"
1,Knowledge Base Creation,"https://wiki.genexus.com//commwiki/wiki?9596,New+Knowledge+Base","You can create a new Knowledge Base by selecting File > New > Knowledge Base in the GeneXus menu bar or by pressing Ctrl+Shift+N.
The GeneXus Start Page also gives the option to create a new Knowledge Base.
When you create a new Knowledge Base, a dialog box will be displayed to complete some details, as shown in the image below:

Here you have to complete the required data:
Name: The name of the KB that will be created.
Location: The path where the KB will be created.
Prototyping Target: Indicates if you want the programs to be generated by GeneXus in your local prototyping machine or in the GeneXus Prototyping Cloud.
User Interface Language: The language in which you want the application to be generated; that is, the language in which GeneXus will generate button labels, messages, etc.
Back end box

Prototyping Environment: One of the possible programming languages. The language selected will be the one used by GeneXus to generate the back-end programs corresponding to the application, as well as the programs for creating and maintaining the database.
Data Source: Defines the DBMS over which the database will be created, accessed, and maintained.


Front end box: Indicates the programming languages you want GeneXus to generate the front-end applications programs. .NET is the language offered by default to generate front-end applications for the Web. You can select others to generate Web and/or Native Mobile applications, too. 
Advanced tab: Sets details about the database that will store the information related to the Knowledge Base. This is not the database corresponding to your application but another one that will store the information relative to definitions you will include in your Knowledge Base.
Once the information required has been completed, you only have to press the Create button.
When the new Knowledge Base is created, a Design System Object will be automatically created with the name of the KB, that is, <KB Name>, which is configured as the Default Style at the KB version level.
In addition, the GeneXusUnanimo module is installed since the created Design System object will contain the import of Unanimo.
Considerations
Use alphanumeric characters (a-zA-Z0-9) to name a KB, taking into account that the name cannot begin with numbers. The character ""-"" is not supported; use ""_"" instead.
See Also
Team Development with GeneXus Server
New Knowledge Base - Advanced tab
Videos
Creation of the Knowledge Base
"
2,GeneXus IDE,"https://wiki.genexus.com//commwiki/wiki?5272,Category%3AGeneXus+IDE","GeneXus provides an intuitive and consistent User Interface, IDE.
It is divided into windows, toolbars, and the main menu:

Main window (Start Page)
KB Explorer
Toolbar (offers an easy-to-use interface for commonly used functions in GeneXus) 
Properties window 
Output (displays the output of the actions performed)
The on-screen position of these windows and toolbars is completely customizable.
 
For example, you can change the position of a toolbar or hide a window and show it again using this menu option.
Also, you can control docking behavior by clicking on the pin button. In this way, you could also fix them in one position or arrange them differently on the screen.
After creating a Knowledge Base, the IDE content changes. For example, in the KB Explorer window, a tree structure will be created. Its root will be the name of the Knowledge Base given by you, and below it will appear the GeneXus objects that you are going to define.
If no Knowledge Base is open, the main window will show the start page. The start page displays dynamic information about GeneXus and the GeneXus community (news as well as solutions posted by other developers). It shows recently opened projects with the option to reopen them and also provides an option to create a new project.



"
3,Transaction object,"https://wiki.genexus.com//commwiki/wiki?1908,Category%3ATransaction+object","Describes an object or actor of reality, defining the structure of the database, business rules, and the UI for data manipulation.
Description
Transactions are the first GeneXus objects you create in a Knowledge Base, as they allow you to describe objects or actors of reality. We recommend paying attention to the nouns used by the users when describing their reality and needs, to identify which Transactions you must create (I.e., Customer, Country, etc.).
Each Transaction contains the following selectors:

Structure
The Transaction structure allows you to define the attributes or fields that describe the object of reality.
			The structure may have one Level or several Levels (nested or parallel). The attributes that belong to the same level will be entered, updated, and deleted together. It is necessary to define, among the attributes making up each level, an attribute or set of attributes, acting as a unique identifier (primary key).


Web Layout
GeneXus automatically creates a Web Layout according to the defined structure. This layout will allow users to add, change and delete data at runtime.


Rules
This section is used to define specific behavior rules for the Transaction. For example, validations for the entered data, etc.


Events
This section allows you to define events with idle code, which are activated in response to certain actions by the user or the system.


Variables
This section allows you to define variables that will be local to the Transaction (temporary, in memory).


Help
Here you can write help texts, which users will be able to refer to during Transaction runtime.


Documentation
Here you can write technical text, in wiki format, to be used as documentation of the system.


Patterns
Here you can apply Patterns to the Transaction. Patterns allow us to empower our applications by easily adding new features! When you apply a pattern, GeneXus creates all the necessary objects to provide the desired behavior without the need for us to program them.

 Work With for Web. You can apply the Work With Patterns to the Transaction. The Work With Pattern is one of the best-known and most useful patterns in business applications.

 Work With for Smart Devices. You can apply the Work With for Smart Devices object to the Transaction. In user interfaces, we frequently find a view that shows a list of items and when one of them is selected, that item's detail is displayed. Sometimes this pattern is called Master-DetailTransaction.
GeneXus analyzes the Transaction structures and generates the necessary programs to create the database (if it doesn't exist), which will be automatically normalized to third normal form, according to the main theories of relational databases. In other words, GeneXus extracts the knowledge from the Transaction structures to define the physical tables to be created or updated in the database. After that, GeneXus also generates programs (forms with several functionalities) to interact with the database previously created.
See Also
GeneXus objects
Transaction Object Limits
GeneXus Knowledge Base Limits
Triggering context for Events and Rules
Videos
First Transaction design
 Defining more Transactions
 Working with attributes and domains
"
4,Structure,"https://wiki.genexus.com//commwiki/wiki?7661,Transaction+Structure","The Transaction object Structure allows you to define the attributes or fields that describe that object of reality and how they relate to each other.  

To save the changes made, you must either press CTRL + S or click on the Save icon located in the Main Toolbar.
See Also
Transaction’s Structure Editor
Object Editors

"
5,Attributes definition,"https://wiki.genexus.com//commwiki/wiki?7240,Attribute+definition","In every Transaction structure, you have to define the attributes or fields that describe that object of reality.
Suppose you were asked to record, for each customer, his/her name, last name, address, phone, and email. Therefore, the data that must be recorded for each customer matches the attributes that have to be created for the Customer Transaction.
Note that the first line is created for you to enter the first attribute:

If you press the “dot” key on the keyboard, GeneXus automatically shows the Transaction name as a prefix in the attribute name:

You only have to type ""Id"" after the ""Customer"" prefix to complete the first attribute name. Next, you press the Tab key and choose the data type that will be stored for this attribute:

The data type combo box displays the data types available in GeneXus. For this attribute you can leave the default data type, that is to say: Numeric of 4 digits (with no decimals).
Pressing Enter opens a new line for you to start creating the second attribute.
Note that an icon key is associated with the first line. The reason is that in every Transaction, an attribute – or set of attributes – must be set with an identifier or key role.
Videos
First Transaction design
See also
Insert Attribute/Variable Dialog

"
6,Data Types,"https://wiki.genexus.com//commwiki/wiki?6558,Category%3AData+Types","The GeneXus Data Types can be divided into:
Basics: the very well-known data types (Numeric, Character, etc.).
Business Components: to use the Business Logic of Transactions in other objects, use Business Components.
Extended Types: those used to handle things like Files, XMLs, Directories, Web sessions, Mail sessions, Excel and Word documents, etc.
Structured Data Types: it is the GeneXus object which allows defining complex data structures.
Where are Data Types used?
In an Attribute definition: only Basics are allowed
In a Domain definition: all except Business Components are allowed
In a Variable definition: all kinds of data types are allowed
In the members of a Structured Data Type definition: all kinds of data types are allowed
"
7,GeneXus Domains,"https://wiki.genexus.com//commwiki/wiki?7221,Category%3AGeneXus+Domains","Domains aim at creating global data type definitions.
It is common to have attributes sharing the same definition, though no direct relationship can be established between them. For example, different prices or amounts attributes may share the same data type (i.e.: ProductPrice, ServicePrice, InvoiceAmount, etc.). So, you can define a domain named Price as being a numeric type with a maximum length of 9 and several attributes and variables may be defined based on that domain.
One of the advantages the domains provide is that, if later on, you need prices to be Numeric of a different length, changing the domain definition will be enough to update all the attributes and variables based on that domain in a single step.
Because the use of Domains leads to a higher level of abstract application definition, it is recommended that all attributes be associated with a Domain definition.






"
8,Domain definition,"https://wiki.genexus.com//commwiki/wiki?7239,Domain+definition","By selecting View > Domains in the GeneXus Toolbar, you can view and manage the defined Domains in the Knowledge Base.
GeneXus automatically creates some domains in each Knowledge Base and of course, you can define your own domains.
When you click on a given domain, the Properties Window is refreshed with that domain properties.
Generic properties that every domain has:
Properties


Name


Description


Based on


Data type


Enum values
Then, depending on the data type configured, different properties are offered.
See Also
GeneXus Domains




"
9,Nullable property - Attribute,"https://wiki.genexus.com//commwiki/wiki?7642,Nullable+property+-+Attribute","The null value for a given attribute should be considered as ""not specified"" or ""not available"" or ""not assigned"". It is different from the ""empty"" value that is a special value (i.e. zero for numeric data, empty string for character data, etc.). As from GeneXus 9.0, you can specify, in a Transaction's structure, whether or not an attribute can have a null value. This information is useful for several purposes:
Protect data
Improve referential integrity controls
Enable better join performance
Null Definition
Changes to attribute nullability can be done at the Transaction level by checking or unchecking the Nullable column. It can be set for any attribute that is stored in the underlying table except for the primary key attributes (that do not support the null value by definition).

The Transaction's Nullable column can take the following values:
No: means that the attribute in the underlying Table does not allow the null value.
Yes: means that the attribute in the underlying table allows the null value.
[Compatible]: This is a special compatibility value that is available only in Knowledge Bases that have been converted from GeneXus prior to 9.0. See Compatibility Section in Null Property (GeneXus 9.0) for more details.
The default value is No.
Parallel Transactions
Parallel Transactions are Transactions having the same Primary Key composition in a given level. If there are Parallel Transactions in a Knowledge Base, they share null definitions. This means that the last Parallel Transaction saved from a set, overwrites previous null definitions for all the set.
Why should you care about Nulls?
Nulls are very important in the relational model. Allowing the null value for a given attribute means that it may, under certain circumstances, be ""ignored"" as its value is ""not set"". On the other hand, if an attribute does not allow the null value, a valid value must always be assigned to it. Nulls information is used in GeneXus for defining Data Base tables and referential integrity controls, to determine the Join Type used to navigate de Data Base and check program's logic.

Data Base tables
Nulls definition is used by GeneXus when it creates KB tables. The IAR (Impact Analysis Report) shows Nulls capabilities of every attribute on each KB table. Changing Nulls definition forces a database reorganization.

Referential Integrity
Tables in a KB relate to each other. Cross references between them are made through foreign keys and primary keys. Null definitions for attributes comprising a foreign key let Genexus know how ""strong"" these references are. For example: if none of the attributes comprising a foreign key allow the null value. This is a strong reference (also known as a not null reference): it states that, no matter what happens, the foreign key must always point to an existing Primary Key value of the referenced table. On the other hand, a foreign key having at least one attribute supporting the null value is a weak reference (also known as null reference) and states that if this (or these) attribute(s) are null (any of them if many) the reference should not be checked.

When a foreign key is a compound key (with more than one attribute) and nulls are allowed for any of its attributes, new references may be defined if the remaining attributes comprise a foreign key too, as in the following example.
COUNTRY
CITY
CLIENT


CountryId*
CountryId*
ClientId*


CountryDsc
CityId*
ClientName


 
CityDsc
CountryId


 
 
CityId
In the CLIENT Transaction structure, the CountryId and CityId attributes make up a compound foreign key for the CITY table. If null values are not allowed for either CountryId or CityId, the reference's existence is unconditionally verified. On the other hand, if null values are allowed for CityId, reference to table CITY will be checked only if CityId is not null, and a reference to the table COUNTRY needs to be created. This last reference is needed to avoid entering an invalid (non-existing) CountryId when CityId is null.
Determining Join Type
Join refers to how tables are ""linked"" to retrieve data to fulfill a request (""For each""s, either explicit or implied). As this is written, Genexus supports two types of Joins: Natural and Outer. Natural means that if, for example, two tables are joined, records for not matching join conditions should not be retrieved. Outer means that records not matching join conditions must be retrieved.
Based on Null definitions for foreign keys, Genexus knows when to use Natural (not null reference) or Outer (nullable references).
Checking program logic
Null definitions can be used to check program logic. Basically, to avoid setting the null value for attributes that do not allow it.
Nulls in navigation reports
Navigation reports do not normally show information about null definitions. They do show, however, the effects of null definitions, for example:
A '~' symbol is prefixed to the table icon when nulls are allowed (Outer Join)
The 'allowing nulls' suffix is added to 'READ <TABLE>' in the Detailed Navigation Report.
An '=' symbol is prefixed to the table icon when nulls are not allowed (Natural Join).
Nulls and Foreign Keys Summary
If a foreign key has the Null property set to 'No' for all its attributes:
	
Not null references will be allowed when inserting or updating.
Joins referencing these tables will be generated as Natural Joins.
If a foreign key has some of its Compose attribute set to Yes:
	
Null values will be allowed when inserting or updating.
New referential integrity control is performed if other attributes of this FK match with another Primary Key.
Joins referencing these tables will be generated as Outer Joins.
Specification and Reorganization Controls
Specification controls
If a program (Transaction or Procedure) inserts a record in a table with no referenced attributes with null value property in Yes, and the Initialize Not Referenced Attributes property is set to No, the following error message appears: spc0081: Attributes %1 do not allow nulls in table %2 and are not referenced %3.
To fix the error:
If the program is a Transaction, you may reference these attributes in the transaction structure or disable insertion in the appropriate level. Use the 'error() if insert' rule.
If it is a Procedure, the 'New' group must reference them. Otherwise, you may change the nullability property of these attributes.
Set the Initialize not referenced attributes property to Yes.
If the Nullvalue() function is assigned to an attribute that doesn't support null values, and the Generate Nulls for Nullvalue() property is set to Yes, the following error occurs: spc0082: Attribute %1 in table %2 does not allow nulls.
To fix the error:

Remove the assignment and change the Generate Null for Nullvalue() property value, or
Change the attribute nullability for this table.
If a foreign key doesn't allow nulls and the Allownulls rule is specified for it, the following message appears: spc0085: AllowNulls rule conflict with null definition for foreign key %1.
To fix the error:

Remove the Allownulls rule (it should not be necessary) and change the nullability of foreign key attributes as needed.
Reorganization Controls
When changing an attribute Null=Yes to Null=No, or vice versa, a reorganization takes place. If the modified attribute belongs to a foreign key, this reorganization can change the foreign key constraint definition. If the attribute doesn't belong to a foreign key:
Changing from Null=No to Null=Yes doesn't imply any problems because a new value is added (the null one) and the existent data cannot have it.
Changing from Null=Yes to Null=No deletes a possible value of the existent data. To be able to reorganize the data without any errors in the process, you have to replace the null values with one of two possible values: the one specified in the Initial Value property or, in case this value has not been specified, the empty value corresponding to the attribute data type. In this case, the following warning will be given: Rgz0008: Attribute %1 changed from AllowNulls=Yes to AllowNulls=No and no initial value was specified. Null values will be treated as empty ones.
Besides, if the attribute belongs to a foreign key, changes in the foreign key constraint definition could cause the creation of Load Referential Integrity programs.

If a new attribute is defined in an existing table that doesn't accept null, the following warning is displayed during reorganization: Rgz0007: Attribute %1 does not allow nulls and doesn't have a default value. An empty default value will be used. If this new attribute is a Foreign Key, a new referential integrity constraint is also created. Consequently, if the default value assigned to this attribute does not exist in the referenced table, the reorganization will fail. This is noted in the following message: Reorganization may fail if table %1 has records and the key value %2 does not exist in table %3.
Considerations
As mentioned above, when a foreign key is a compound key (with more than one attribute) and nulls are allowed for any of its attributes, new references may be defined if the remaining attributes comprise a foreign key too.





"
